;x;y;Information
8;-1601.776;-1155.451;
9;-1612.282;-1188.876;
10;-1610.695;-1190.22;
Shape;;;Escudella
Decoration;;;White
Origin;;;Barcelona
TBD017;;;
1;636.895;-1167.147;
2;636.895;-1160.973;
3;630.976;-1160.957;
4;616.626;-1159.404;
5;613.142;-1159.444;
6;608.348;-1160.921;
7;603.793;-1163.031;
8;585.773;-1178.572;
9;577.502;-1197.739;
10;578.702;-1199.791;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
TBD018;;;
1;464.74;-1096.28;
2;464.74;-1090.548;
3;461.742;-1090.195;
4;452.481;-1089.401;
5;438.37;-1089.313;
6;434.416;-1090.923;
7;429.374;-1094.958;
8;412.882;-1115.683;
9;403.308;-1135.425;
10;405.44;-1138.376;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
TBD019;;;
1;647.424;-1104.476;
2;647.424;-1098.655;
3;643.367;-1098.479;
4;620.382;-1094.398;
5;619.235;-1094.398;
6;616.044;-1095.323;
7;610.967;-1098.551;
8;595.301;-1119.734;
9;590.349;-1135.687;
10;591.726;-1137.62;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
CDB05;;;
1;450.335;-1035.022;
2;450.335;-1030.436;
3;443.015;-1030.26;
4;434.534;-1029.45;
5;431.736;-1029.45;
6;429.951;-1029.685;
7;427.258;-1030.508;
8;409.325;-1048.339;
9;399.565;-1069.225;
10;400.174;-1070.09;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB5468;;;
1;647.491;-1017.56;
2;647.491;-1013.365;
3;644.264;-1013.385;
4;622.237;-1010.311;
5;621.006;-1010.297;
6;615.072;-1012.356;
7;607.369;-1017.736;
8;599.432;-1030.201;
9;587.821;-1054.85;
10;590.285;-1058.048;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB5426;;;
1;560.195;-954.275;
2;560.195;-948.131;
3;558.725;-948.072;
4;541.227;-947.076;
5;539.322;-947.013;
6;537.047;-948.807;
7;534.619;-951.871;
8;519.802;-963.917;
9;503.355;-981.927;
10;507.359;-986.113;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB46586;;;
1;677.597;-902.643;
2;677.597;-897.734;
3;676.009;-897.734;
4;656.152;-896.065;
5;655.373;-896.066;
6;652.873;-896.881;
7;649.186;-899.18;
8;634.314;-920.501;
9;626.036;-940.315;
10;627.752;-941.936;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB46587;;;
1;500.972;-853.425;
2;500.972;-846.399;
3;493.534;-845.87;
4;481.921;-845.252;
5;475.689;-845.252;
6;474.219;-846.076;
7;472.707;-847.089;
8;465.25;-855.941;
9;448.638;-885.768;
10;451.692;-889.175;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB63766;;;
1;500.971;-763.348;
2;500.993;-758.431;
3;494.952;-758.431;
4;482.512;-757.394;
5;481.409;-757.394;
6;476.85;-758.255;
7;470.566;-762.642;
8;464.282;-771.528;
9;451.296;-800.037;
10;453.787;-803.212;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB63704;;;
1;663.169;-823.778;
2;663.169;-817.739;
3;661.323;-817.78;
4;648.428;-816.754;
5;646.774;-816.754;
6;642.067;-818.089;
7;637.951;-820.514;
8;619.989;-842.034;
9;612.93;-856.059;
10;614.491;-857.938;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB63771;;;
1;699.377;-731.992;
2;699.377;-726.502;
3;691.002;-726.423;
4;677.576;-725.839;
5;675.966;-725.851;
6;672.264;-726.232;
7;665.429;-728.922;
8;645.585;-752.161;
9;634.782;-774.033;
10;636.898;-777.076;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
SNU_inv20;;;
1;817.183;-1161.791;
2;817.183;-1149.444;
3;815.301;-1149.268;
4;799.967;-1147.879;
5;794.875;-1147.928;
6;788.619;-1148.911;
7;784.77;-1151.31;
8;770.7;-1167.87;
9;761.571;-1199.562;
10;762.338;-1200.383;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB63791;;;
1;817.212;-1092.571;
2;817.212;-1087.081;
3;808.834;-1086.861;
4;797.697;-1085.732;
5;795.737;-1085.739;
6;790.949;-1086.582;
7;786.498;-1089.33;
8;774.989;-1104.257;
9;762.529;-1125.89;
10;764.128;-1128.227;
Shape;;;Escudella
Decoration;;;Polychrome
Origin;;;Barcelona
MCB63774;;;
1;825.965;-1005.072;
2;825.965;-996.826;
